"id,""submitdate"",""lastpage"",""startlanguage"",""seed"",""startdate"",""datestamp"",""edad"",""sex"",""pais"",""tipouni"",""perfil"",""exed"",""area"",""acreedu"",""exin"",""acreinv"",""grupoinv"",""nart"",""autprin"",""njcr"",""envnohh[SQ001]"",""envnohh[SQ002]"",""envnohh[SQ005]"",""envnohh[SQ003]"",""envnohh[SQ004]"",""pubnohh"",""mot[SQ001]"",""mot[SQ002]"",""mot[SQ003]"",""mot[SQ004]"",""mot[SQ005]"",""mot[SQ006]"",""mot[SQ007]"",""mot[SQ008]"",""mot[SQ009]"",""mot[SQ010]"",""priorpub"",""util"",""pract[SQ001]"",""pract[SQ002]"",""pract[SQ003]"",""pract[SQ004]"",""pract[SQ005]"",""pract[SQ006]"",""pract[SQ007]"",""pract[SQ008]"",""pract[SQ009]"",""pract[SQ010]"",""pract[SQ011]"",""pract[SQ012]"",""pract[SQ013]"",""pract[SQ014]"",""pract[SQ015]"",""pract[SQ016]"",""pract[SQ017]"",""pract[SQ018]"",""pract[SQ019]"",""pract[SQ020]"",""pract[SQ021]"",""pract[SQ022]"",""pract[SQ023]"",""pract[SQ024]"",""pract[SQ025]"",""pract[SQ026]"",""pract[SQ027]"",""pract[SQ028]"",""malaspr[SQ001]"",""malaspr[SQ002]"",""malaspr[SQ003]"",""malaspr[SQ004]"",""malaspr[SQ005]"",""malaspr[SQ006]"",""malaspr[SQ007]"",""malaspr[SQ008]"",""malaspr[SQ009]"",""malaspr[SQ010]"",""malaspr[SQ011]"",""malaspr[SQ012]"",""malaspr[SQ013]"",""malaspr[SQ014]"",""malaspr[SQ015]"",""malaspr[SQ016]"",""malaspr[SQ017]"",""malaspr[SQ018]"",""malaspr[SQ019]"",""malaspr[SQ020]"",""malaspr[SQ021]"",""malaspr[SQ022]"",""malaspr[SQ023]"",""malaspr[SQ024]"",""malaspr[SQ025]"",""malaspr[SQ026]"",""malaspr[SQ027]"",""malaspr[SQ028]"",""otro"",""interviewtime"",""groupTime6820"",""edadTime"",""sexTime"",""paisTime"",""tipouniTime"",""perfilTime"",""exedTime"",""areaTime"",""acreeduTime"",""exinTime"",""acreinvTime"",""grupoinvTime"",""nartTime"",""autprinTime"",""njcrTime"",""groupTime7823"",""envnohhTime"",""pubnohhTime"",""motTime"",""priorpubTime"",""utilTime"",""practTime"",""malasprTime"",""otroTime""";
"12,""2022-02-09 09:39:34"",""22"",""es"",""1667119028"",""2022-02-09 09:31:22"",""2022-02-09 09:39:34"",""46"",""0"",""A57"",""A1"",""A2"",""1"",""A4"",""1"",""23"",""1"",""1"",""100"",""30"",""89"",""2"",""2"",""1"",""2"",""2"",""A3"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""A3"",""A2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"","""",""504.2"","""",""6.3"",""4.16"",""7.65"",""5.1"",""5.84"",""15.83"",""41.92"",""5.73"",""7.64"",""5"",""5.75"",""13.79"",""105.53"",""7.96"","""",""15.57"",""11.81"",""32.11"",""23.78"",""8.15"",""94.87"",""76.23"",""3.48""";
"13,""2022-02-09 09:44:01"",""22"",""es"",""563864370"",""2022-02-09 09:31:25"",""2022-02-09 09:44:01"",""38"",""1"",""A57"",""A1"",""A3"",""7"",""A9"",""1"",""14"",""1"",""1"",""38"",""10"",""38"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""A3"",""A2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""766.88"","""",""6.91"",""6.42"",""10.79"",""5.86"",""10.01"",""20.45"",""19.03"",""11.67"",""29.8"",""7.76"",""12.03"",""6.49"",""64.35"",""11.21"","""",""46.77"",""10.92"",""57.47"",""47.16"",""14.16"",""188.85"",""166.29"",""12.48""";
"14,""2022-02-09 09:44:52"",""22"",""es"",""1577992151"",""2022-02-09 09:31:54"",""2022-02-09 09:44:52"",""55"",""0"",""A57"",""A1"",""A3"",""20"",""A8"",""1"",""20"",""1"",""1"",""14"",""8"",""5"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""A3"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""2"",""1"","""",""791.46"","""",""8.89"",""3.44"",""7.28"",""4.73"",""4.84"",""11.4"",""6.85"",""8.75"",""26.65"",""4.65"",""3.66"",""103.7"",""13.83"",""52.74"","""",""26.86"",""7.88"",""38.58"",""24.22"",""6.9"",""240.14"",""182.36"",""3.11""";
"15,""2022-02-09 09:45:31"",""22"",""es"",""2018121502"",""2022-02-09 09:31:54"",""2022-02-09 09:45:31"",""47"",""0"",""A57"",""A2"",""A3"",""7"",""A10"",""1"",""7"",""1"",""1"",""30"",""21"",""9"",""2"",""1"",""2"",""2"",""2"",""A1"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""A3"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""Muy interesante el estudio, enhorabuena. No obstante las realidades departamentales, básicamente en las públicas están demasiado sujetas a las jerarquías de Catedráticos con mucho afán de sumar mucho y hacer poco (he tenido experiencia en públicas durante el doctorado y pos doc y lo he visto en primera persona). Demasiados catedráticos\as que accedieron a su condición sin cumplir todos los requisitos que ahora marca la ANECA para ese rango. No es juego limpio."",""805.56"","""",""9.8"",""5.5"",""17.45"",""11.62"",""11.04"",""15.99"",""9.73"",""5.7"",""10.04"",""7.93"",""5.04"",""16.37"",""10.8"",""21.47"","""",""38.82"",""18.59"",""34.2"",""17.6"",""17.23"",""123.36"",""85.84"",""311.44""";
"17,""2022-02-09 09:40:02"",""22"",""es"",""1457685888"",""2022-02-09 09:32:18"",""2022-02-09 09:40:02"",""33"",""1"",""A57"",""A1"",""A3"",""5"",""A12"",""1"",""6"",""1"",""1"",""14"",""8"",""14"",""2"",""1"",""2"",""2"",""2"",""A3"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""A4"",""A1"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"","""",""442.97"","""",""5.52"",""3.8"",""11.06"",""3.28"",""5.25"",""16.98"",""6.21"",""6.01"",""7.57"",""6.48"",""3.78"",""5.22"",""16.65"",""5.59"","""",""18.21"",""8.99"",""33.24"",""22.73"",""11.55"",""141.7"",""99.48"",""3.67""";
"19,""2022-02-09 09:40:52"",""22"",""es"",""259878426"",""2022-02-09 09:32:40"",""2022-02-09 09:40:52"",""67"",""0"",""A57"",""A1"",""A3"",""43"",""A26"",""1"",""43"",""1"",""1"",""212"",""100"",""115"",""2"",""1"",""2"",""2"",""2"",""A2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""A2"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""501.51"","""",""9.07"",""6.19"",""14.92"",""7.39"",""9.26"",""19.99"",""10.21"",""10.05"",""10.53"",""6.62"",""6.62"",""7.74"",""43.68"",""14.99"","""",""26.98"",""11.92"",""42.3"",""38.65"",""21.22"",""98.49"",""74.65"",""10.04""";
"20,""2022-02-09 09:41:57"",""22"",""es"",""2090527169"",""2022-02-09 09:32:50"",""2022-02-09 09:41:57"",""39"",""1"",""A57"",""A1"",""A3"",""16"",""A10"",""1"",""10"",""1"",""1"",""93"",""73"",""30"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""A1"",""A2"",""2"",""1"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""559.56"","""",""7.09"",""4.09"",""8.45"",""191.73"",""23.54"",""5.51"",""19.6"",""5.62"",""9.44"",""4.39"",""3.93"",""6.73"",""10.12"",""7.48"","""",""14.34"",""7.64"",""22.79"",""17.9"",""7.75"",""115.68"",""60.87"",""4.87""";
"21,""2022-02-09 09:41:09"",""22"",""es"",""1967182549"",""2022-02-09 09:33:39"",""2022-02-09 09:41:09"",""42"",""0"",""A57"",""A1"",""A3"",""13"",""A10"",""1"",""1"",""1"",""1"",""10"",""4"",""5"",""2"",""2"",""1"",""2"",""2"",""A3"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""A2"",""A2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""463.47"","""",""7.53"",""7.12"",""25.75"",""4.25"",""9.2"",""6.91"",""22.48"",""5.67"",""26.89"",""6.31"",""4.48"",""30.4"",""10.24"",""11.61"","""",""22.71"",""10.08"",""45.7"",""17.97"",""9.1"",""130.65"",""43.47"",""4.95""";
"22,""2022-02-09 09:44:22"",""22"",""es"",""1291928882"",""2022-02-09 09:33:40"",""2022-02-09 09:44:22"",""47"",""1"",""A57"",""A1"",""A3"",""17"",""A16"",""1"",""17"",""1"",""1"",""50"",""15"",""47"",""1"",""2"",""2"",""2"",""2"",""A2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""A4"",""A1"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""Hay tanto que arreglar en el mundo universitario. Es penosa la situación actual. La motivación de los profesores. La exigencia desmesurada de investigación que de una forma clara y nítida hace que desprecies el trabajo docente y la atención a los alumnos. Etc.";
;
Espero que lleguéis a algún lado con el estudio. La tendencia nacional es ir a peor.;
",652.51"","""",""13.37"",""9.71"",""10.59"",""7.28"",""5.86"",""9.74"",""11.4"",""8.31"",""8.89"",""8.21"",""6.04"",""8.64"",""8.88"",""9.72"","""",""12.63"",""10.51"",""41.13"",""16.03"",""21.01"",""133.46"",""86.21"",""204.89""";
