"id","edad","sex","tipouni","perfil","exed","acreedu","exin","acreinv","grupoinv","nart","autprin","njcr","nh1","nh2","nh5","nh3","nh4","pubnohh","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","priorpub","util","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","mp1","mp2","mp3","mp4","mp5","mp6","mp7","mp8","mp9","mp10","mp11","mp12","mp13","mp14","mp15","mp16","mp17","mp18","mp19","mp20","mp21","mp22","mp23","mp24","mp25","mp26","mp27","mp28","otro","pais.r","area.r"
33,31,"Hombre","Pública","Personal de investigación",0,0,3,0,1,6,2,6,0,1,0,0,1,"Sí",0,0,1,0,0,1,1,0,0,0,"Descubrir","Aplicabilidad",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,"Me parece una muy buena batería de preguntas que abordan un problema que creo que es clave dentro del mundo de la investigación científica. La venta de humo y publicación desesperada por parte de los grupos de trabajo debido al establecimiento de requisitos de cumplimiento de publicaciones por parte de los organismos, creo que es una práctica muy extendida y de la cual no estoy de acuerdo, y que creo que hace bastante daño al sector. Enhorabuena y ánimo en esta investigación. Estoy deseando de ver los resultados. Un saludo.  ","España","Ciencias naturales e ingeniería"
34,41,"Hombre","Pública","Personal docente e investigador",6,1,6,1,1,120,40,35,1,0,0,0,0,"Sí",0,0,1,0,1,1,1,0,0,1,"Difundir","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","España","Ciencias sociales y del comportamiento"
35,40,"Hombre","Pública","Personal docente e investigador",8,1,8,0,1,70,30,50,1,0,0,0,0,"Sí",0,0,1,1,1,0,0,0,1,0,"Difundir","Conocimiento",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,"Si en la evaluación de la investigación para conseguir una RyC o JdC lo más importante es el número de artículos, que estén en Q1 y ser primer autor, pues todos vamos buscando eso independientemente si la investigación aporta algo. Más vale publicar el mismo tipo de artículo aplicado a cosas diferentes (lo que se dice, ""hacer churros"") que desarrollar líneas nuevas de investigación o estudiar cosas diferentes. LA ciencia es apasionante, pero el sistema te obliga a ser práctico.","Argentina","Ciencias naturales e ingeniería"
36,35,"Hombre","Pública","Personal docente e investigador",1,0,12,0,1,48,23,48,1,0,0,0,0,"Sí",0,0,0,1,0,1,0,1,0,1,"Difundir","Conocimiento",0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","España","Ciencias naturales e ingeniería"
38,34,"Hombre","Pública","Personal de investigación",0,0,1,0,1,10,6,10,0,0,0,0,1,"Sí",0,0,1,1,0,1,1,1,1,1,"Descubrir","Conocimiento",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,"","Otro","Ciencias naturales e ingeniería"
39,28,"Hombre","Pública","Personal docente e investigador",4,1,5,1,1,23,12,21,1,0,0,0,0,"Sí",0,0,1,0,1,1,1,0,1,1,"Descubrir","Conocimiento",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,"Me parece muy interesante. La modificación de la hipótesis de partida me parece un tema de interés en el que nunca había pensado. Cuando realizo una investigación parto de una hipótesis que si se cumple, elaboro el artículo. Si no se cumple, pero los resultados son interesantes, acabo publicando el artículo con otro enfoque. Me acabo de dar cuenta de lo que denomino como ""otro enfoque"", es la modificación de la hipótesis de partida. Sin embargo, aunque en algunos trabajos no veo el problema, en otros sí, ya que se distorsiona tanto la hipótesis de partida que estás omitiendo información, especialmente relacionada con el punto de partida del trabajo, y esta información puede ser importante para otros investigadores. Respecto a las prácticas habituales (por desgracia en muchos casos) en investigación, si que me gustaría destacar que no me parece lo mismo incluir al investigador principal del grupo de investigación en un trabajo sin que haya participado directamente salvo la revisión final del artículo, siempre y cuando se haya encargado de conseguir la financiación o proyecto para elaborar el trabajo. Esto hay que observarlo con detalle en cada caso, ya que para conseguir proyectos/financiación se necesita de un CV bueno a nivel del grupo, de ahí la necesidad en algunos casos de incluir a autores que han estado poco involucrados en el trabajo. Esta práctica no la considero buena, todo lo contrario, pero se ha impuesto como necesaria en el sistema. Por desgracia, si no participas en el sistema, no puedes realizar tu investigación... Perdón por semejante párrafo, pero considero el tema de gran interés, y podría estar discutiéndolo durante horas (Especialmente criticándolo). Gracias y un saludo","Otro","Ciencias naturales e ingeniería"
40,43,"Mujer","Privada","Personal de investigación",0,1,20,1,1,50,18,50,1,0,0,0,0,"Sí",0,0,0,1,0,1,1,0,0,1,"Descubrir","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,"Considero malas prácticas todas las mencionadas, pero he marcado solo las que me parecen más graves. Quizá estaría bien añadir una sección sobre conoce casos en los que haya sucedido... generalmente las personas que respondemos a esto somos las que creemos que lo hacemos bien, pero sí conocemos casos que incluyen algunas de las malas prácticas mencionadas. las personas que las practican probablemente no responderán a este tipo de encuesta. Gracias por el trabajo, me parece importante. ","España","Ciencias de la vida y médicas"
41,60,"Mujer","Pública","Personal de investigación",0,0,30,0,1,140,10,130,1,0,0,0,0,"Sí",0,0,0,1,0,1,1,0,0,1,"Descubrir","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"Espero que tengais controles de sinceridad... porque nadie va a reconocer que hace cosas cuestionables, ni en una encuesta anónima. Suerte","España","Ciencias de la vida y médicas"
42,56,"Mujer","Pública","Personal docente e investigador",12,0,10,0,1,10,4,3,1,0,0,0,0,"Sí",0,1,1,1,1,1,1,1,1,1,"Resolver","Aplicabilidad",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias sociales y del comportamiento"
43,55,"Mujer","Pública","Personal docente e investigador",27,1,34,1,1,160,12,159,1,0,0,0,0,"Sí",0,0,0,1,0,1,1,0,0,0,"Descubrir","Conocimiento",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,"","España","Ciencias de la vida y médicas"
44,40,"Hombre","Privada","Personal docente e investigador",12,1,16,1,1,65,20,60,1,0,0,0,0,"Sí",0,0,1,0,1,1,0,0,0,1,"Descubrir","Conocimiento",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias de la vida y médicas"
45,53,"Hombre","Pública","Personal docente e investigador",30,1,30,1,1,60,25,26,1,0,0,0,0,"Sí",0,0,0,0,1,0,1,0,0,1,"Difundir","Conocimiento",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"","España","Ciencias sociales y del comportamiento"
46,52,"Mujer","Pública","Personal docente e investigador",15,1,27,1,1,53,30,47,1,0,0,0,0,"Sí",0,0,0,0,0,0,0,0,0,1,"Descubrir","Conocimiento",0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,"","España","Ciencias de la vida y médicas"
47,48,"Hombre","Pública","Personal docente e investigador",22,1,28,1,1,203,18,203,1,0,0,0,0,"Sí",0,1,1,1,1,1,1,1,0,1,"Difundir","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,"","España","Ciencias de la vida y médicas"
48,48,"Mujer","Pública","Personal docente e investigador",16,1,24,1,1,65,7,65,1,0,0,0,0,"Sí",0,0,0,1,1,1,1,1,0,1,"Descubrir","Aplicabilidad",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,"","España","Ciencias de la vida y médicas"
49,34,"Hombre","Pública","Personal docente e investigador",4,1,5,1,1,16,8,7,1,0,0,0,0,"Sí",0,1,1,0,1,1,1,1,1,1,"Difundir","Aplicabilidad",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,"Los investigadores del sector público van tan ofuscados con las plazas que harán cualquier cosa con tal de cumplir sus objetivos personales, lo cuál, paradójicamente, perjudica notablemente la calidad de la investigación. I.e., los investigadores mejor acreditados por ANECA/tienen plazas buenas son los que más ""marranadas"" hacen.","España","Ciencias naturales e ingeniería"
50,44,"Mujer","Pública","Personal de investigación",0,1,23,1,1,50,7,48,1,0,0,0,0,"Sí",0,0,0,1,0,1,0,0,0,1,"Descubrir","Conocimiento",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,"","España","Ciencias de la vida y médicas"
53,48,"Hombre","Pública","Personal de investigación",6,1,24,1,1,190,66,190,1,0,0,0,0,"Sí",0,0,0,0,0,0,1,0,0,1,"Descubrir","Conocimiento",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,"","España","Ciencias naturales e ingeniería"
54,45,"Hombre","Pública","Personal docente e investigador",11,1,12,1,1,63,28,43,1,0,1,0,0,"Sí",0,1,1,1,1,1,1,0,1,1,"Requisitos","Aplicabilidad",0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,"","España","Ciencias de la vida y médicas"
55,25,"Mujer","Privada","Estudiante de doctorado",1,0,2,0,1,3,1,2,0,0,0,0,1,"No lo tengo claro",0,0,0,0,1,1,0,1,0,0,"Descubrir","Aplicabilidad",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,"La investigación cientifica no implica solo el hecho de publicar articulos, sin embargo los requerimientos actuales de las entidades acreditadoras hacen que se termine enfocado la investigación a la busqueda de resultados para poder ser publicados. Muchas veces en ese afán de publicar más se cae en ""malas prácticas"" ","España","Ciencias naturales e ingeniería"
56,38,"Mujer","Privada","Personal docente e investigador",12,1,9,1,1,15,10,5,1,0,0,0,1,"Sí",0,0,0,0,0,1,1,1,0,1,"Descubrir","Aplicabilidad",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Ecuador",NA
57,36,"Hombre","Pública","Personal de investigación",0,1,10,1,1,25,20,22,0,1,0,0,0,"No lo tengo claro",0,0,0,0,0,0,0,0,1,1,"Difundir","Aplicabilidad",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,"Yo hubiera añadido algo sobre el comportamiento de los revisores. Últimamente sólo recomiendan citar artículos ""suyos"" para incrementar el índice H. Esto me desquicia, es una perversión del sistema....","España","Ciencias naturales e ingeniería"
